FID IID thr_wing
8414845 8414845 84.64
8414845 8414845 83
8414845 8414845 84
8414845 8414845 NA
8414845 8414845 85.61
8414846 8414846 83
8414846 8414846 NA
8414846 8414846 85
8414846 8414846 82
8414847 8414847 84
8414847 8414847 NA
8414848 8414848 81
8414848 8414848 NA
8414848 8414848 NA
8414849 8414849 80
8414849 8414849 NA
8414849 8414849 NA
8414849 8414849 80
8414850 8414850 76
8414850 8414850 NA
8414850 8414850 NA
8414850 8414850 76
8414851 8414851 78.5
8414851 8414851 NA
8414851 8414851 80
8414851 8414851 79
8414852 8414852 81.5
8414852 8414852 NA
8414852 8414852 NA
8414852 8414852 NA
8414853 8414853 83.5
8414853 8414853 NA
8414853 8414853 NA
8414853 8414853 82
8414853 8414853 81.64
8414854 8414854 84
8414855 8414855 77
8414855 8414855 NA
8414855 8414855 NA
8414855 8414855 82
8414855 8414855 77
8414855 8414855 70
8414855 8414855 77
8414855 8414855 76.61
8414856 8414856 77
8414856 8414856 NA
8414856 8414856 79
8414856 8414856 78
8414857 8414857 77
8414858 8414858 83.5
8414858 8414858 NA
8414858 8414858 NA
8414858 8414858 NA
8414858 8414858 84
8414859 8414859 79
8414860 8414860 81
8414861 8414861 81
8414861 8414861 NA
8414861 8414861 NA
8414861 8414861 NA
8414861 8414861 NA
8414861 8414861 78
8414861 8414861 80.64
8414862 8414862 83.5
8414862 8414862 NA
8414862 8414862 79
8414862 8414862 83
8414862 8414862 82.09
8414863 8414863 78
8414864 8414864 81
8414864 8414864 NA
8414865 8414865 82.5
8414865 8414865 NA
8414865 8414865 NA
8414866 8414866 82
8414866 8414866 NA
8414866 8414866 NA
8414866 8414866 NA
8414866 8414866 83
8414867 8414867 82
8414868 8414868 76.5
8414868 8414868 NA
8414868 8414868 75
8414868 8414868 73
8414868 8414868 77
8414868 8414868 75.61
8414869 8414869 81.5
8414869 8414869 NA
8414869 8414869 NA
8414870 8414870 78
8414870 8414870 NA
8414871 8414871 79
8414871 8414871 NA
8414871 8414871 NA
8414872 8414872 81
8414873 8414873 81
8414873 8414873 NA
8414873 8414873 NA
8414873 8414873 83
8414873 8414873 78
8414873 8414873 82
8414874 8414874 77
8414875 8414875 84
8414876 8414876 82
8414876 8414876 80
8414877 8414877 78.5
8414878 8414878 83
8414879 8414879 78.5
8414879 8414879 78.7
8414879 8414879 79
8414879 8414879 77.41
8414880 8414880 81.5
8414880 8414880 72.5
8414881 8414881 80
8414882 8414882 81
8414883 8414883 78
8414884 8414884 81.5
8414885 8414885 80.5
8414886 8414886 85.5
8414887 8414887 84
8414888 8414888 80
8414888 8414888 NA
8414888 8414888 NA
8414889 8414889 80
8414890 8414890 82
8414890 8414890 NA
8414890 8414890 NA
8414892 8414892 77.64
8414892 8414892 70
8414892 8414892 78.64
8414892 8414892 NA
8414892 8414892 78.64
8414894 8414894 75.61
8414901 8414901 80
8414902 8414902 78
